actiune,timestamp
Adaugare pacient,2025-05-21 17:07:36
Afișare pacienți,2025-05-21 17:07:48
CREATE_PATIENT: 5040630471335,2025-05-24 17:06:46
CREATE_PATIENT: 5040630471335,2025-05-24 17:06:46
DISPLAY_ALL_PATIENTS,2025-05-24 17:06:48
DISPLAY_ALL_PATIENTS,2025-05-24 17:06:48
CREATE_PATIENT: 5040630471335,2025-05-24 17:14:28
CREATE_PATIENT: 5040630471335,2025-05-24 17:14:28
DISPLAY_ALL_PATIENTS,2025-05-24 17:14:30
DISPLAY_ALL_PATIENTS,2025-05-24 17:14:30
READ_PATIENT_BY_CNP: 5040630471335,2025-05-24 17:15:36
DISPLAY_PATIENT_BY_CNP: 5040630471335,2025-05-24 17:15:36
DISPLAY_PATIENT_BY_CNP,2025-05-24 17:15:36
READ_ACTIVE_PATIENTS,2025-05-24 17:15:59
DISPLAY_PATIENTS_BY_AGE_CATEGORY,2025-05-24 17:15:59
DISPLAY_PATIENTS_BY_AGE_CATEGORY,2025-05-24 17:15:59
READ_PATIENT_BY_CNP: 5040630471335,2025-05-24 17:16:35
UPDATE_NAME: 5040630471335,2025-05-24 17:16:35
UPDATE_NAME: 5040630471335,2025-05-24 17:16:35
CREATE_PATIENT: 5040630471335,2025-05-24 17:47:48
CREATE_PATIENT: 5040630471335,2025-05-24 17:47:48
LOAD_PATIENTS_FROM_DB,2025-05-24 20:17:31
LOAD_DOCTORS_FROM_DB,2025-05-24 20:17:31
Încărcare fișe medicale din DB,2025-05-24 20:17:31
LOAD_ROOMS_FROM_DB,2025-05-24 20:17:31
LOAD_NURSES_FROM_DB,2025-05-24 20:17:31
LOAD_INVOICES_FROM_DB,2025-05-24 20:17:31
Încărcare fișe medicale din DB,2025-05-24 20:17:31
Încărcare fișe medicale din DB,2025-05-24 20:17:31
LOAD_PATIENTS_FROM_DB,2025-05-24 21:33:47
LOAD_DOCTORS_FROM_DB,2025-05-24 21:33:47
Încărcare fișe medicale din DB,2025-05-24 21:33:47
LOAD_ROOMS_FROM_DB,2025-05-24 21:33:47
LOAD_NURSES_FROM_DB,2025-05-24 21:33:47
LOAD_INVOICES_FROM_DB,2025-05-24 21:33:47
Încărcare fișe medicale din DB,2025-05-24 21:33:47
Încărcare fișe medicale din DB,2025-05-24 21:33:47
CREATE_PATIENT: 5040630471335,2025-05-24 21:34:54
LOAD_PATIENTS_FROM_DB,2025-05-24 21:38:56
LOAD_DOCTORS_FROM_DB,2025-05-24 21:38:57
Încărcare fișe medicale din DB,2025-05-24 21:38:57
LOAD_ROOMS_FROM_DB,2025-05-24 21:38:57
LOAD_NURSES_FROM_DB,2025-05-24 21:38:57
LOAD_INVOICES_FROM_DB,2025-05-24 21:38:57
Încărcare fișe medicale din DB,2025-05-24 21:38:57
Încărcare fișe medicale din DB,2025-05-24 21:38:57
LOAD_PATIENTS_FROM_DB,2025-05-24 21:39:23
LOAD_DOCTORS_FROM_DB,2025-05-24 21:39:23
Încărcare fișe medicale din DB,2025-05-24 21:39:23
LOAD_ROOMS_FROM_DB,2025-05-24 21:39:23
LOAD_NURSES_FROM_DB,2025-05-24 21:39:23
LOAD_INVOICES_FROM_DB,2025-05-24 21:39:23
Încărcare fișe medicale din DB,2025-05-24 21:39:23
Încărcare fișe medicale din DB,2025-05-24 21:39:23
CREATE_PATIENT: 5040630471335,2025-05-24 21:44:38
CREATE_PATIENT: 5040630471335,2025-05-24 21:44:38
DISPLAY_ALL_PATIENTS,2025-05-24 21:44:42
DISPLAY_ALL_PATIENTS,2025-05-24 21:44:42
CREATE_PATIENT: 6040603410050,2025-05-24 21:46:31
CREATE_PATIENT: 6040603410050,2025-05-24 21:46:31
DISPLAY_ALL_PATIENTS,2025-05-24 21:46:39
DISPLAY_ALL_PATIENTS,2025-05-24 21:46:39
DISPLAY_PATIENT_BY_CNP: 6040603410050,2025-05-24 21:47:19
DISPLAY_PATIENT_BY_CNP,2025-05-24 21:47:19
DISPLAY_PATIENTS_BY_AGE_CATEGORY,2025-05-24 21:47:24
DISPLAY_PATIENTS_BY_AGE_CATEGORY,2025-05-24 21:47:24
UPDATE_ADDRESS: 5040630471335,2025-05-24 21:48:41
UPDATE_ADDRESS: 5040630471335,2025-05-24 21:48:41
UPDATE_PHONE_NUMBER: 5040630471335,2025-05-24 21:48:59
UPDATE_PHONE: 5040630471335,2025-05-24 21:48:59
UPDATE_EMAIL: 5040630471335,2025-05-24 21:49:17
UPDATE_EMAIL: 5040630471335,2025-05-24 21:49:17
UPDATE_NAME: 5040630471335,2025-05-24 21:49:29
UPDATE_NAME: 5040630471335,2025-05-24 21:49:29
UPDATE_BLOOD_GROUP: 6040603410050,2025-05-24 21:50:12
UPDATE_BLOOD_GROUP: 6040603410050,2025-05-24 21:50:12
UPDATE_RH_TYPE: 6040603410050,2025-05-24 21:50:19
UPDATE_RH_TYPE: 6040603410050,2025-05-24 21:50:19
UPDATE_FIRST_NAME: 6040603410050,2025-05-24 21:50:35
UPDATE_FIRST_NAME: 6040603410050,2025-05-24 21:50:35
CREATE_PATIENT: 2981122420019,2025-05-24 21:51:34
CREATE_PATIENT: 2981122420019,2025-05-24 21:51:34
DISPLAY_PATIENTS_BY_AGE_CATEGORY,2025-05-24 21:51:39
DISPLAY_PATIENTS_BY_AGE_CATEGORY,2025-05-24 21:51:39
LOAD_PATIENTS_FROM_DB,2025-05-24 22:17:45
LOAD_DOCTORS_FROM_DB,2025-05-24 22:17:45
Încărcare fișe medicale din DB,2025-05-24 22:17:45
LOAD_ROOMS_FROM_DB,2025-05-24 22:17:45
LOAD_NURSES_FROM_DB,2025-05-24 22:17:45
LOAD_INVOICES_FROM_DB,2025-05-24 22:17:45
Încărcare fișe medicale din DB,2025-05-24 22:17:45
Încărcare fișe medicale din DB,2025-05-24 22:17:45
LOAD_PATIENTS_FROM_DB,2025-05-24 22:29:35
LOAD_DOCTORS_FROM_DB,2025-05-24 22:29:35
Încărcare fișe medicale din DB,2025-05-24 22:29:35
LOAD_ROOMS_FROM_DB,2025-05-24 22:29:35
LOAD_NURSES_FROM_DB,2025-05-24 22:29:35
LOAD_INVOICES_FROM_DB,2025-05-24 22:29:35
Încărcare fișe medicale din DB,2025-05-24 22:29:35
Încărcare fișe medicale din DB,2025-05-24 22:29:35
DISPLAY_ALL_PATIENTS,2025-05-24 22:29:47
FILTER_PATIENTS_BY_RH: -,2025-05-24 22:30:14
FILTER_PATIENTS_BY_RH: +,2025-05-24 22:30:20
FILTER_PATIENTS_BY_BLOOD_GROUP: A,2025-05-24 22:30:34
LOAD_PATIENTS_FROM_DB,2025-05-24 22:40:57
